Accuracy,Kappa,AccuracyLower,AccuracyUpper,AccuracyNull,AccuracyPValue,McnemarPValue,data,k,model
0.6958174904942965,0.56199517028895,0.6363280223865326,0.7508303174209362,0.40304182509505704,8.02446045265435e-22,1.900930235737239e-7,TCGA,3,kNN
0.7072243346007605,0.5772322080958645,0.6482045373017727,0.7615045514138392,0.40304182509505704,1.8821329401242334e-23,NA,TCGA,5,kNN
0.7072243346007605,0.5740129157113109,0.6482045373017727,0.7615045514138392,0.40304182509505704,1.8821329401242334e-23,1.0180083113113505e-9,TCGA,7,kNN
0.7034220532319392,0.5680444715840895,0.6442412048612812,0.7579510151038108,0.40304182509505704,6.694314070938513e-23,1.626565465387931e-9,TCGA,9,kNN
0.7110266159695817,0.5768571247115608,0.6521724301759114,0.7650534773462428,0.40304182509505704,5.196538774034837e-24,NA,TCGA,11,kNN
0.6730038022813688,0.5318928763607765,0.6126930655946996,0.7293626097392283,0.40304182509505704,9.06388153702608e-19,2.285524501533021e-6,NS,3,kNN
0.6577946768060836,0.5058558276445168,0.5970203597679065,0.7149661348075903,0.40304182509505704,6.980595442555171e-17,2.424976257428453e-6,NS,5,kNN
0.6730038022813688,0.5163683794128338,0.6126930655946996,0.7293626097392283,0.40304182509505704,9.06388153702608e-19,1.2543451469259267e-11,NS,7,kNN
0.6806083650190115,0.5256784610099623,0.6205542931657302,0.7365357621431439,0.40304182509505704,9.328265607809928e-20,1.1394091288372906e-12,NS,9,kNN
0.6653992395437263,0.4968148711816502,0.6048485154502531,0.7221726362456276,0.40304182509505704,8.22668894297902e-18,NA,NS,11,kNN
