Sensitivity,Specificity,Pos Pred Value,Neg Pred Value,Precision,Recall,F1,Prevalence,Detection Rate,Detection Prevalence,Balanced Accuracy,class,data,mode,model
0.8421052631578947,0.9911111111111112,0.9411764705882356,0.9737991266375546,0.9411764705882353,0.8421052631578947,0.8888888888888888,0.1444866920152091,0.12167300380228137,0.12927756653992395,0.9166081871345029,CMS1,TCGA,RF,CMSclassifier
0.6698113207547169,0.9936305732484076,0.9861111111111112,0.8167539267015707,0.9861111111111112,0.6698113207547169,0.797752808988764,0.40304182509505704,0.26996197718631176,0.2737642585551331,0.8317209470015623,CMS2,TCGA,RF,CMSclassifier
0.8620689655172413,0.9871794871794872,0.8928571428571432,0.9829787234042553,0.8928571428571429,0.8620689655172413,0.8771929824561403,0.11026615969581749,0.09505703422053231,0.10646387832699619,0.9246242263483643,CMS3,TCGA,RF,CMSclassifier
0.9107142857142857,0.9516908212560387,0.8360655737704918,0.9752475247524752,0.8360655737704918,0.9107142857142857,0.8717948717948717,0.21292775665399238,0.19391634980988592,0.23193916349809887,0.9312025534851622,CMS4,TCGA,RF,CMSclassifier
0.8235294117647058,0.8253275109170306,0.4117647058823529,0.9692307692307692,0.4117647058823529,0.8235294117647058,0.5490196078431372,0.12927756653992395,0.10646387832699619,0.2585551330798479,0.8244284613408682,NOLBL,TCGA,RF,CMSclassifier
0.7894736842105263,0.9688888888888889,0.8108108108108109,0.9646017699115044,0.8108108108108109,0.7894736842105263,0.8,0.1444866920152091,0.11406844106463879,0.14068441064638784,0.8791812865497076,CMS1,TCGA,SSP,CMSclassifier
1,0.7070063694267515,0.6973684210526315,1,0.6973684210526315,1,0.8217054263565892,0.40304182509505704,0.40304182509505704,0.5779467680608364,0.8535031847133758,CMS2,TCGA,SSP,CMSclassifier
0.7241379310344828,0.9914529914529915,0.91304347826087,0.9666666666666667,0.9130434782608695,0.7241379310344828,0.8076923076923076,0.11026615969581749,0.07984790874524715,0.08745247148288973,0.8577954612437371,CMS3,TCGA,SSP,CMSclassifier
0.125,1,1,0.80859375,1,0.125,0.2222222222222222,0.21292775665399238,0.026615969581749048,0.026615969581749048,0.5625,CMS4,TCGA,SSP,CMSclassifier
0.2647058823529412,0.8471615720524017,0.2045454545454545,0.8858447488584474,0.20454545454545456,0.2647058823529412,0.23076923076923078,0.12927756653992395,0.034220532319391636,0.16730038022813687,0.5559337272026714,NOLBL,TCGA,SSP,CMSclassifier
0.8421052631578947,0.9911111111111112,0.9411764705882356,0.9737991266375546,0.9411764705882353,0.8421052631578947,0.8888888888888888,0.1444866920152091,0.12167300380228137,0.12927756653992395,0.9166081871345029,CMS1,NS,RF,CMSclassifier
0.6698113207547169,0.9936305732484076,0.9861111111111112,0.8167539267015707,0.9861111111111112,0.6698113207547169,0.797752808988764,0.40304182509505704,0.26996197718631176,0.2737642585551331,0.8317209470015623,CMS2,NS,RF,CMSclassifier
0.8620689655172413,0.9871794871794872,0.8928571428571432,0.9829787234042553,0.8928571428571429,0.8620689655172413,0.8771929824561403,0.11026615969581749,0.09505703422053231,0.10646387832699619,0.9246242263483643,CMS3,NS,RF,CMSclassifier
0.9107142857142857,0.9516908212560387,0.8360655737704918,0.9752475247524752,0.8360655737704918,0.9107142857142857,0.8717948717948717,0.21292775665399238,0.19391634980988592,0.23193916349809887,0.9312025534851622,CMS4,NS,RF,CMSclassifier
0.8235294117647058,0.8253275109170306,0.4117647058823529,0.9692307692307692,0.4117647058823529,0.8235294117647058,0.5490196078431372,0.12927756653992395,0.10646387832699619,0.2585551330798479,0.8244284613408682,NOLBL,NS,RF,CMSclassifier
0.7894736842105263,0.9688888888888889,0.8108108108108109,0.9646017699115044,0.8108108108108109,0.7894736842105263,0.8,0.1444866920152091,0.11406844106463879,0.14068441064638784,0.8791812865497076,CMS1,NS,SSP,CMSclassifier
1,0.7070063694267515,0.6973684210526315,1,0.6973684210526315,1,0.8217054263565892,0.40304182509505704,0.40304182509505704,0.5779467680608364,0.8535031847133758,CMS2,NS,SSP,CMSclassifier
0.7241379310344828,0.9914529914529915,0.91304347826087,0.9666666666666667,0.9130434782608695,0.7241379310344828,0.8076923076923076,0.11026615969581749,0.07984790874524715,0.08745247148288973,0.8577954612437371,CMS3,NS,SSP,CMSclassifier
0.125,1,1,0.80859375,1,0.125,0.2222222222222222,0.21292775665399238,0.026615969581749048,0.026615969581749048,0.5625,CMS4,NS,SSP,CMSclassifier
0.2647058823529412,0.8471615720524017,0.2045454545454545,0.8858447488584474,0.20454545454545456,0.2647058823529412,0.23076923076923078,0.12927756653992395,0.034220532319391636,0.16730038022813687,0.5559337272026714,NOLBL,NS,SSP,CMSclassifier
